session_id,label,ts,source,scenario_id,attack_subtype,label_method,environment,packet_rate,unique_dst_ports,dst_port_entropy,mean_inter_arrival,std_inter_arrival,unique_src_ips,src_ip_entropy
ddos_multi_04__benign_udpspoof_0,0,1789389392.2707818,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9544,0.3951,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389392.4107819,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9544,0.3951,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389392.550782,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0014,0.3891,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389392.690782,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,1.0014,0.3891,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389392.8307822,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9711,0.3801,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389392.9707823,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.9711,0.3801,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.1107824,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,0.9201,0.3669,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.2507825,real,ddos_multi_04,,generator_ground_truth,docker_multihost,10,1,-0.0,0.9201,0.3669,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.3907826,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.5307827,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.6707828,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.810783,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389393.950783,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.090783,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.2307832,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8908,0.359,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.3707833,real,ddos_multi_04,,generator_ground_truth,docker_multihost,12,1,-0.0,0.8873,0.3424,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.5107834,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.6507835,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.7907836,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389394.9307837,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389395.0707839,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389395.210784,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
ddos_multi_04__benign_udpspoof_0,0,1789389395.350784,real,ddos_multi_04,,generator_ground_truth,docker_multihost,11,1,-0.0,0.8348,0.3142,1,-0.0
